,Año,Trimestre,Provincia,Accesos por cada 100 hab
405,2020,1,Santiago Del Estero,10.539212166838636
406,2020,1,Tierra Del Fuego,22.552553250860385
407,2020,1,Tucumán,11.852464901793745
408,2019,4,Buenos Aires,21.135089381908887
409,2019,4,Capital Federal,44.18705360861236
410,2019,4,Catamarca,9.268865071492511
411,2019,4,Chaco,9.84506318966921
412,2019,4,Chubut,15.677171185926401
413,2019,4,Córdoba,21.57949716642836
414,2019,4,Corrientes,10.208283637368018
415,2019,4,Entre Ríos,17.339132629892976
416,2019,4,Formosa,7.755476118924716
417,2019,4,Jujuy,11.60391510228381
418,2019,4,La Pampa,25.344921847620384
419,2019,4,La Rioja,12.547563567459605
420,2019,4,Mendoza,9.390112733918839
421,2019,4,Misiones,10.837581902491847
422,2019,4,Neuquén,17.668184976921886
423,2019,4,Río Negro,17.13387032217983
424,2019,4,Salta,12.195492805546795
425,2019,4,San Juan,8.36915261267133
426,2019,4,San Luis,21.441352893267833
427,2019,4,Santa Cruz,10.923427797723754
428,2019,4,Santa Fe,21.84835065573258
429,2019,4,Santiago Del Estero,10.651974288337923
430,2019,4,Tierra Del Fuego,23.627546752616215
431,2019,4,Tucumán,11.803181280712074
432,2019,3,Buenos Aires,22.761733615562225
433,2019,3,Capital Federal,46.904770893488056
434,2019,3,Catamarca,7.855954765218487
435,2019,3,Chaco,9.580664387529255
436,2019,3,Chubut,14.580466548718958
437,2019,3,Córdoba,21.000781776953538
438,2019,3,Corrientes,10.134028114178687
439,2019,3,Entre Ríos,17.311661825597923
440,2019,3,Formosa,7.664177713890219
441,2019,3,Jujuy,11.334206981241007
442,2019,3,La Pampa,25.519002705641388
443,2019,3,La Rioja,12.762431790856121
444,2019,3,Mendoza,11.368189016279217
445,2019,3,Misiones,10.713348334458951
446,2019,3,Neuquén,19.092075679641724
447,2019,3,Río Negro,19.508498591229387
448,2019,3,Salta,10.771854623416075
449,2019,3,San Juan,9.440941485226007
450,2019,3,San Luis,24.390971166174673
451,2019,3,Santa Cruz,10.601555192584216
452,2019,3,Santa Fe,21.656424746361633
453,2019,3,Santiago Del Estero,13.725288048364083
454,2019,3,Tierra Del Fuego,28.598925193212118
455,2019,3,Tucumán,9.781574184382116
456,2019,2,Buenos Aires,22.215789484298067
457,2019,2,Capital Federal,46.08592579281094
458,2019,2,Catamarca,8.173397032450584
459,2019,2,Chaco,9.125011329267105
460,2019,2,Chubut,14.403808727896068
461,2019,2,Córdoba,20.841637242238242
462,2019,2,Corrientes,10.047459019420458
463,2019,2,Entre Ríos,17.185820444672466
464,2019,2,Formosa,7.742195783956093
465,2019,2,Jujuy,11.382934590825071
466,2019,2,La Pampa,25.39783989548608
467,2019,2,La Rioja,12.965645588675004
468,2019,2,Mendoza,11.373356541672889
469,2019,2,Misiones,10.662825595018377
470,2019,2,Neuquén,18.777900805620252
471,2019,2,Río Negro,18.792276756346176
472,2019,2,Salta,10.146610869132008
473,2019,2,San Juan,9.068540162527924
474,2019,2,San Luis,23.40822663016059
475,2019,2,Santa Cruz,8.584064828655885
476,2019,2,Santa Fe,21.201130485144205
477,2019,2,Santiago Del Estero,13.101581339388986
478,2019,2,Tierra Del Fuego,28.10756382159569
479,2019,2,Tucumán,9.942460440805863
480,2019,1,Buenos Aires,21.64173785141924
481,2019,1,Capital Federal,45.57918389943661
482,2019,1,Catamarca,8.188504627374574
483,2019,1,Chaco,8.722835003407456
484,2019,1,Chubut,13.180368061670734
485,2019,1,Córdoba,20.05952769269671
486,2019,1,Corrientes,9.25199213887151
487,2019,1,Entre Ríos,16.979402393290254
488,2019,1,Formosa,7.55368578631946
489,2019,1,Jujuy,11.867849761055307
490,2019,1,La Pampa,25.157516640472675
491,2019,1,La Rioja,13.359402478637785
492,2019,1,Mendoza,10.508862067173826
493,2019,1,Misiones,9.87579609120626
494,2019,1,Neuquén,17.526490396034294
495,2019,1,Río Negro,16.478122478195964
496,2019,1,Salta,9.711781014403453
497,2019,1,San Juan,8.108982017265918
498,2019,1,San Luis,19.271779401291518
499,2019,1,Santa Cruz,7.042691634453057
500,2019,1,Santa Fe,21.059894917387947
501,2019,1,Santiago Del Estero,9.311616280949599
502,2019,1,Tierra Del Fuego,27.684925791261847
503,2019,1,Tucumán,10.31263096739148
504,2018,4,Buenos Aires,21.058833823398523
505,2018,4,Capital Federal,45.24931394036689
506,2018,4,Catamarca,8.197333541624968
507,2018,4,Chaco,8.7108351925502
508,2018,4,Chubut,13.061729706052178
509,2018,4,Córdoba,19.92843117514227
510,2018,4,Corrientes,9.102210657080787
511,2018,4,Entre Ríos,16.257794035384702
512,2018,4,Formosa,7.568639138457005
513,2018,4,Jujuy,11.899484192418539
514,2018,4,La Pampa,24.215175627605007
515,2018,4,La Rioja,13.402859048246764
516,2018,4,Mendoza,10.536933969997644
517,2018,4,Misiones,9.38376401334208
518,2018,4,Neuquén,17.58336203291432
519,2018,4,Río Negro,15.952033444971306
520,2018,4,Salta,9.639884990122159
521,2018,4,San Juan,8.125067548299477
522,2018,4,San Luis,19.332549309229275
523,2018,4,Santa Cruz,7.049080016507051
524,2018,4,Santa Fe,20.62373640643868
525,2018,4,Santiago Del Estero,9.2821177795649
526,2018,4,Tierra Del Fuego,27.748785315817887
527,2018,4,Tucumán,10.344120436439566
