,Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,35 Mbps,36 Mbps,40 Mbps,41 Mbps,45 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,59 Mbps,60 Mbps,61 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,80 Mbps,85 Mbps,90 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps,4000 Mbps,10000 Mbps
459,BUENOS AIRES,Mar Chiquita,Mar de Cobo,6518050,166.0,,,,,,,,,,,,25.0,,,,,,,,83.0,,1045.0,,,,,,,,72.0,,,,139.0,,,,,,,,,,,87.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,6518060,150.0,,,,,,,,,,2257.0,,,,,,1208.0,,,,,192.0,,,,,99.0,,,,,,,,97.0,,,,,,801.0,,,,,,,,,,,,,,,602.0,,,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,BUENOS AIRES,Mar Chiquita,Vivoratá,6518070,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,BUENOS AIRES,Marcos Paz,Marcos Paz,6525020,16.0,,1.0,,28.0,22.0,,64.0,,,329.0,,419.0,,,205.0,12.0,,,,877.0,,68.0,,,,,,,,628.0,5.0,,,,,,,,38.0,,,,,,2.0,,16.0,,,524.0,,,25.0,,438.0,,,,,,35.0,,,,,,5283.0,,,,,22.0,,,,,,,,,,341.0,,1038.0,,,,,,,,,882.0,,,,,249.0,24.0,,,,,,,69.0,,,,,,,,,,,99.0,,,
463,BUENOS AIRES,Mercedes,Gowland,6532010,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,BUENOS AIRES,Mercedes,Jorge Born,6532030,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,BUENOS AIRES,Mercedes,Mercedes,6532020,1.0,,7.0,,44.0,,,102.0,,,46.0,,527.0,,,,215.0,,970.0,,400.0,,731.0,,,,,,,,256.0,8.0,,,2919.0,,,,,,,,,,,3246.0,,,,,,,,,,394.0,,,,,,,,,,,,,,,,,813.0,,,,,,,,,,,,,,,,,,,,,,,,,,552.0,,,,,,,,68.0,,,,,,,,,,,25.0,,,
466,BUENOS AIRES,Merlo,Libertad,6539010,14.0,,1.0,,4.0,3.0,,1587.0,,,8.0,,29.0,,,10.0,123.0,,,,39.0,,347.0,,,,,,,1.0,62.0,,,,11.0,,,,,,4.0,,,,,14607.0,,,,,,,,,,110.0,,,,,,544.0,,,,,13.0,,,,,,373.0,,,,,,,,,,5218.0,,,,,,,,,,,,,,,,4776.0,,,,,,,,1062.0,,,,,,,,,,,1481.0,,,
467,BUENOS AIRES,Merlo,Mariano Acosta,6539010,1.0,,,,,113.0,,323.0,,,846.0,,,,,493.0,28.0,,,,57.0,,815.0,,,,,,,,,,,,12.0,,,,,,,,,,,14.0,,,,,,,,,,7440.0,,,,,,426.0,,,,,2.0,214.0,,,,,329.0,,,,,,,,,,3242.0,,,,,,,,,,,,,,,,2993.0,,,,,,,,575.0,,,,,,,,,,,1029.0,,,
468,BUENOS AIRES,Merlo,Merlo,6539010,28.0,,8.0,,26.0,11.0,,277.0,,,62.0,,128.0,,,390.0,778.0,,,,75.0,,706.0,,,,,,,,100.0,,,,31.0,,,,,,4.0,,,,,23852.0,,,,,,,,,,1069.0,,,,,,1487.0,,,,,16.0,7.0,,,,,2742.0,,,,,,,,,,13895.0,,,,,,,,,,,,,,,,15287.0,,,,,,,,2820.0,,,,,,,,,,,4011.0,,,
469,BUENOS AIRES,Merlo,Otros,Sin Datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,BUENOS AIRES,Merlo,Pontevedra,6539010,,,,,5.0,,,,,,,,169.0,,,2.0,,,,,249.0,,174.0,,,,,,,,1420.0,,,,,,,,,,1681.0,,,,,1.0,,,,,,,,,,598.0,,,,,,194.0,,,,585.0,4.0,,,,,,78.0,,,4.0,,,,,,,1578.0,,,,,,,,,,,,,,,,1651.0,,,,,,,,329.0,,,,,,,,,,,388.0,,,
471,BUENOS AIRES,Merlo,San Antonio De Padua,6539010,30.0,,4.0,,2.0,2.0,,92.0,,,3.0,,5.0,,,4.0,328.0,,,,3.0,,78.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,6105.0,,,,,,,,,,177.0,,,,,,96.0,,,,,2.0,,,,,,1770.0,,,,,,,,,,1467.0,,,,,,,,,,,,,,,,2708.0,,,,,,,,498.0,,,,,,,,,,,581.0,,,
472,BUENOS AIRES,Monte,Abbott,6547010,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,BUENOS AIRES,Monte,San Miguel del Monte  (Est. Monte),6547020,1.0,,,,,31.0,,208.0,,21.0,,,12.0,,,783.0,184.0,,,,6.0,,2142.0,,,,,,,8.0,29.0,,,,1084.0,,,,,,,,,,,,,,,,,,,,,1166.0,,,,,,,,,,,,,,,,,1348.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,466.0,,,,,,,,12.0,16.0,,,,,,,,,,2.0,,,
474,BUENOS AIRES,Monte Hermoso,Balneario Sauce Grande,6553010,,,,,,,,,,,,,,,,,30.0,,,,,,501.0,,,,,,,,,,,,47.0,,,,,,,,,,,98.0,,,,,97.0,,,,,47.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,BUENOS AIRES,Monte Hermoso,Monte Hermoso,6553020,,,,,,,,,,,40.0,,,,,7.0,617.0,,,,,,3576.0,,,,1.0,,,,1.0,,,,449.0,,,,,,1.0,,,,,861.0,,,2.0,,186.0,,,,,369.0,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,BUENOS AIRES,Moreno,Cuartel V,6560010,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,14.0,,,,,,,,,,,1.0,,,,,,,,,,804.0,,,,,,243.0,,,,,,,,,,,1.0,,,,,,,,,,560.0,,,,,,,,,,,,,,,,414.0,,,,,,,,36.0,,,,,,,,,,,428.0,,,
477,BUENOS AIRES,Moreno,Francisco Alvarez,6560010,1.0,,,,45.0,,,,,,,,465.0,,,62.0,,,,,221.0,,184.0,,,,,,,,252.0,,,,141.0,,,,,,,,,,,597.0,,,,,280.0,,,,,304.0,,,,,,87.0,,,,,,,,,,,760.0,,,,,,,,,,1228.0,,,,,,43.0,,,,,,,,,,2052.0,,,,,,,,354.0,,,,,,,,,,,755.0,,,
478,BUENOS AIRES,Moreno,La Reja,6560010,,,,1.0,5.0,,,,,,,,47.0,,,228.0,,,,,11.0,,481.0,,,,,,,,3.0,,,,419.0,,,,,,1.0,,,,,51.0,,,,,796.0,,,,,955.0,,,,,,238.0,,,,,4.0,,,,,,122.0,,,,,,,,,,2237.0,,,,,,14.0,,,,,,,,,,2137.0,,,,,,,,392.0,,,,,,,,,,,716.0,,,
479,BUENOS AIRES,Moreno,Moreno,6560010,74.0,,8.0,1.0,43.0,6.0,,554.0,,,263.0,,276.0,,,650.0,1191.0,,,,107.0,,4484.0,,,,,,,,35.0,,,,16182.0,,,,,,3.0,,,,,17498.0,,,,,421.0,,,,,3547.0,,,,,,951.0,,,,,8.0,,,,,,2611.0,,,,,,,,,,9453.0,,,,,,1.0,,,,,,,,,,10772.0,,,,,,,,1911.0,,,,,,,,,,,2707.0,,,
480,BUENOS AIRES,Moreno,Paso Del Rey,6560010,,,3.0,,,,,,,,,,,,,3.0,9.0,,,,,,103.0,,,,,,,1.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,870.0,,,,,,323.0,,,,,1.0,,,,,,877.0,,,,,,,,,,3043.0,,,,,,4.0,,,,,,,,,,3890.0,,,,,,,,539.0,,,,,,,,,,,1345.0,,,
481,BUENOS AIRES,Moreno,Trujui,6560010,,,2.0,,14.0,,,,,,1.0,,149.0,,,2.0,1.0,,,,50.0,,650.0,,,,,,,,31.0,,,,,,,,,,758.0,,,,,9221.0,,,,,,,,,,1900.0,,,,,,333.0,,,,,4.0,,,,,,132.0,,,,,,,,,,1795.0,,,,,,21.0,,,,,,,,,,1680.0,,,,,,,,300.0,,,,,,,,,,,953.0,,,
482,BUENOS AIRES,Morón,Castelar,6568010,1.0,,,,,21.0,,7.0,,,4.0,,5.0,,,9.0,97.0,,,,5.0,,229.0,,,,,,,2.0,2.0,,,,33.0,,,,,,41.0,,,,,23.0,,,,,,,,,,8955.0,,,,,,314.0,,,,,13.0,,,,,,6606.0,,,,,,,,,,3239.0,,,,,,,,,,,,,,,,8830.0,,,,,,,,1140.0,,,,156.0,,,,,,,1332.0,,,
483,BUENOS AIRES,Morón,El Palomar,6568010,,,4.0,,,14.0,,,,,2.0,,,,,3.0,19.0,,,,3.0,,130.0,,,,,,,2.0,,,,,34.0,,,,,,,,,,,,,,,,,,,,,3780.0,,,,,,119.0,,,,,2.0,,,,,,3529.0,,,,,,,,,,1459.0,,,,,,,,,,,,,,,,4267.0,,,,,,,,613.0,,,,61.0,,,,,,,606.0,,,
484,BUENOS AIRES,Morón,Haedo,6568010,3.0,,8.0,,30.0,6.0,,,,,1.0,,67.0,,,10.0,36.0,,,,60.0,,162.0,,,,,,,,126.0,,,,38.0,,,,,,20.0,,,,,9408.0,,,,,,,,,,3412.0,,,,,,115.0,,,,,9.0,,,,,,3512.0,,,,,,,,,,1225.0,,,,,,,,,,,,,,,,4657.0,,,,,,,,623.0,,,,81.0,,,,,,,544.0,,,
485,BUENOS AIRES,Morón,Moron,6568010,10.0,,18.0,3.0,69.0,22.0,,3.0,,,9.0,,213.0,,,19.0,15.0,,,,149.0,,296.0,,,,,,,,453.0,,,,74.0,,,,,,45.0,,,,,7064.0,,,,,,,,,,9637.0,,,,,,388.0,,,,,9.0,,,,,,7382.0,,,,,,,,,,3877.0,,,,,,1.0,,,,,,,,,,9527.0,,,,,,,,1163.0,,,,160.0,,,,,,,1479.0,,,
486,BUENOS AIRES,Morón,Villa Sarmiento,6568010,,,,,3.0,1.0,,2.0,,,,,8.0,,,1.0,87.0,,,,10.0,,107.0,,,,,,,1.0,1.0,,,,7.0,,,,,,5.0,,,,,3444.0,,,,,,,,,,1209.0,,,,,,71.0,,,,,4.0,,,,,,1521.0,,,,,,,,,,631.0,,,,,,,,,,,,,,,,2102.0,,,,,,,,333.0,,,,33.0,,,,,,,252.0,,,
487,BUENOS AIRES,Navarro,José Juan Almeyra,6574010,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,BUENOS AIRES,Navarro,Las Marianas,6574020,,,,,,,,,,,,,,,,,135.0,,,,9.0,,13.0,,,,49.0,,,,7.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,BUENOS AIRES,Navarro,Navarro,6574030,1919.0,,1.0,,,,,,,,,,53.0,,,,104.0,,,,100.0,,17.0,,,,24.0,,,,242.0,,,,,,,,,,,,,,,,,,,,,,,,,1653.0,,,,,,,,,,31.0,,,,,,,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,
490,BUENOS AIRES,Navarro,Villa Moll  (Est. Moll),6574040,,,,,,,,,,,,,,7.0,,,102.0,,,,26.0,,15.0,,,,16.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,BUENOS AIRES,Necochea,Claraz,6581010,,,,,,,,101.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,BUENOS AIRES,Necochea,Energía,6581025,,,,,,,,,,,1.0,,,,,11.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,BUENOS AIRES,Necochea,Juan N. Fernández,6581030,,,2.0,,,,,575.0,,,60.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,BUENOS AIRES,Necochea,Necochea - Quequén,6581040,,,1.0,,113.0,1.0,,,,,63.0,,960.0,,,1512.0,176.0,,1740.0,,1059.0,,169.0,,,,133.0,,,,2269.0,,,860.0,285.0,,,,,,886.0,,,,,511.0,,,,,,,,,,2301.0,,,,,,,,,,,,,,,,,9518.0,,,,,,,,,,,,,,,,,,,,,,,,,,3995.0,,,,,,,,322.0,,,,,,,,,,,1.0,,,
495,BUENOS AIRES,Necochea,Nicanor Olivera  (Est. La Dulce),6581050,,,,,,193.0,,22.0,,,308.0,,,,,115.0,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,BUENOS AIRES,Necochea,Otros,Sin Datos,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,BUENOS AIRES,Olavarría,Hinojo,6595060,,,1.0,,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,BUENOS AIRES,Olavarría,Olavarría,6595070,7.0,,5.0,,5.0,,,1.0,,,89.0,,227.0,,,512.0,,,,,470.0,,1004.0,,,,,,,,805.0,,,,30.0,,,,,,,,,,,10.0,,,,,,,,,,1491.0,,,,,,,,,,,,,,,,,12435.0,,,,,,,,,,,,,,,,,,,,,,,,,,9116.0,,,,,,,,409.0,,,,,,,,,,,32.0,,,
499,BUENOS AIRES,Olavarría,Sierra Chica,6595100,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,,,,,2.0,,,,,,,,,,,,,,
500,BUENOS AIRES,Olavarría,Sierras Bayas,6595110,,,,,,,,,,,,,28.0,,,,,,,,90.0,,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,BUENOS AIRES,Olavarría,Villa Alfredo Fortabat,6595120,,,,,,,,,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,BUENOS AIRES,OTROS,Otros,Sin Datos,87722.0,,24968.0,,,8.0,,,,,5.0,,6.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,
503,BUENOS AIRES,Patagones,Bahía San Blas,6602010,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,BUENOS AIRES,Patagones,Carmen de Patagones,6602030,,,1.0,,6.0,,,,,,3.0,,159.0,,,,,,3.0,,376.0,,4.0,,,,,,,5.0,575.0,,,,,,,,,,,,,,,4159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,BUENOS AIRES,Patagones,José B. Casas,6602040,,,,,,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,BUENOS AIRES,Patagones,Juan A. Pradere,6602050,,,,,,,,2.0,,,,,,2.0,,,44.0,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,BUENOS AIRES,Patagones,Stroeder,6602060,,,,,,,,11.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,BUENOS AIRES,Patagones,Villalonga,6602070,,,,,,,,71.0,,,,,3.0,76.0,,,,,,,9.0,,201.0,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,BUENOS AIRES,Pehuajó,Capitán Castro,6609010,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,BUENOS AIRES,Pehuajó,Chiclana,6609080,,,,,,6.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,BUENOS AIRES,Pehuajó,Francisco Madero,6609030,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,BUENOS AIRES,Pehuajó,Inocencio Sosa,6609035,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,BUENOS AIRES,Pehuajó,Juan José Paso,6609040,10.0,,,,,,,272.0,,,72.0,,,31.0,,,16.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,BUENOS AIRES,Pehuajó,Magdala,6609050,,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,BUENOS AIRES,Pehuajó,Mones Cazón,6609060,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,BUENOS AIRES,Pehuajó,Nueva Plata,6609070,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,BUENOS AIRES,Pehuajó,Pehuajó,6609080,164.0,,,,20.0,1.0,,,,,152.0,,758.0,,,624.0,,,,,1391.0,,294.0,,,,,,,,1226.0,,,,1.0,,,,,,,,,,,4.0,,,,,1258.0,,,,,755.0,,,,,,,,,,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,BUENOS AIRES,Pehuajó,San Bernardo  (Est. Guanaco),6609090,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,BUENOS AIRES,Pehuajó,San Esteban,6609020,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,BUENOS AIRES,Pellegrini,Bocayuva,6616010,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,BUENOS AIRES,Pellegrini,Pellegrini,6616030,,,1.0,,,,,3.0,,,,,14.0,,,,32.0,,,,56.0,,,,,,,,,,241.0,,,,,,,,,,1101.0,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,BUENOS AIRES,Pergamino,Acevedo,6623010,110.0,,,,,,,,,,5.0,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,BUENOS AIRES,Pergamino,Fontezuela,6623020,,,,,,19.0,,,,,2.0,,,,,,104.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,BUENOS AIRES,Pergamino,Guerrico,6623030,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,BUENOS AIRES,Pergamino,Juan A. de la Peña,6623040,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,BUENOS AIRES,Pergamino,Juan Anchorena  (Est. Urquiza),6623050,,,,,,44.0,,,,,3.0,,,,,,268.0,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,BUENOS AIRES,Pergamino,La Violeta,6623060,,,,,,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,BUENOS AIRES,Pergamino,Manuel Ocampo,6623070,,,,,,,,,,,,,,,,374.0,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,BUENOS AIRES,Pergamino,Mariano H. Alfonzo  (Est. San Patricio),6623090,,,1.0,,,,,,,,,,,,,292.0,,,3.0,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,BUENOS AIRES,Pergamino,Pergamino,6623100,15.0,,3.0,1.0,95.0,,,,,,,,1213.0,,,252.0,1.0,,,,919.0,,165.0,,,,,,,,2728.0,,,,6.0,,,,,,1.0,,,,,10.0,,,,,,,,,,1114.0,,,,,,,,,,,,,,,,,11690.0,,,,,,,,,,,,,,,,,,,,,,,,,,8396.0,,,,,,,,442.0,,,,,,,,,,,62.0,,,
