,Año,Trimestre,Provincia,Accesos por cada 100 hogares
413,2019,4,Córdoba,70.48295566244217
414,2019,4,Corrientes,38.767440989262106
415,2019,4,Entre Ríos,57.99221691704514
416,2019,4,Formosa,30.471313480544048
417,2019,4,Jujuy,45.37754633175065
418,2019,4,La Pampa,76.92418969170417
419,2019,4,La Rioja,47.13589011052434
420,2019,4,Mendoza,33.64903072027183
421,2019,4,Misiones,39.78923684048622
422,2019,4,Neuquén,59.35590092822445
423,2019,4,Río Negro,55.70500968287489
424,2019,4,Salta,50.35463892238824
425,2019,4,San Juan,32.85497572815534
426,2019,4,San Luis,74.92002603481464
427,2019,4,Santa Cruz,36.71136308535834
428,2019,4,Santa Fe,69.48235725596862
429,2019,4,Santiago Del Estero,42.92077382358182
430,2019,4,Tierra Del Fuego,79.69536136377089
431,2019,4,Tucumán,47.64902012521289
432,2019,3,Buenos Aires,69.35630106079125
433,2019,3,Capital Federal,112.6453878037209
434,2019,3,Catamarca,30.883614526737205
435,2019,3,Chaco,35.8460309754608
436,2019,3,Chubut,47.56624162293312
437,2019,3,Córdoba,68.59234901069021
438,2019,3,Corrientes,38.48535113586719
439,2019,3,Entre Ríos,57.90009945796624
440,2019,3,Formosa,30.11243299777749
441,2019,3,Jujuy,44.322486842913605
442,2019,3,La Pampa,77.45269423291748
443,2019,3,La Rioja,47.94290512174643
444,2019,3,Mendoza,40.73714258735342
445,2019,3,Misiones,39.33292986744382
446,2019,3,Neuquén,64.13887269491578
447,2019,3,Río Negro,63.42470088700958
448,2019,3,Salta,44.47617792228716
449,2019,3,San Juan,37.06231303554226
450,2019,3,San Luis,85.22608876849344
451,2019,3,Santa Cruz,35.62816097885956
452,2019,3,Santa Fe,68.87178057593026
453,2019,3,Santiago Del Estero,55.30391146854541
454,2019,3,Tierra Del Fuego,96.46210963092378
455,2019,3,Tucumán,39.487600204016815
456,2019,2,Buenos Aires,67.84713982374198
457,2019,2,Capital Federal,110.54556699485231
458,2019,2,Catamarca,32.13095022019278
459,2019,2,Chaco,34.14026097986763
460,2019,2,Chubut,46.98798413626923
461,2019,2,Córdoba,68.07130938789848
462,2019,2,Corrientes,38.15558588418795
463,2019,2,Entre Ríos,57.47823458872391
464,2019,2,Formosa,30.418236006943307
465,2019,2,Jujuy,44.511922790626045
466,2019,2,La Pampa,77.08313750288404
467,2019,2,La Rioja,48.704939144243156
468,2019,2,Mendoza,40.754624235362655
469,2019,2,Misiones,39.14612554169944
470,2019,2,Neuquén,63.080964327674394
471,2019,2,Río Negro,61.0942074999118
472,2019,2,Salta,41.89319832036978
473,2019,2,San Juan,35.59971733748176
474,2019,2,San Luis,81.789994425864
475,2019,2,Santa Cruz,28.846063055322123
476,2019,2,Santa Fe,67.42291993321949
477,2019,2,Santiago Del Estero,52.78997126317105
478,2019,2,Tierra Del Fuego,94.79803428023493
479,2019,2,Tucumán,40.13604621420884
480,2019,1,Buenos Aires,66.24255522736811
481,2019,1,Capital Federal,109.19616455883845
482,2019,1,Catamarca,32.190488956121285
483,2019,1,Chaco,32.635876579429485
484,2019,1,Chubut,42.99773633717796
485,2019,1,Córdoba,65.5173840768055
486,2019,1,Corrientes,35.13498688698812
487,2019,1,Entre Ríos,56.78815996169284
488,2019,1,Formosa,29.677694630431926
489,2019,1,Jujuy,46.40843874036665
490,2019,1,La Pampa,76.35457433780647
491,2019,1,La Rioja,50.184587883262736
492,2019,1,Mendoza,37.657164970282864
493,2019,1,Misiones,36.25716826552349
494,2019,1,Neuquén,58.87800433437489
495,2019,1,Río Negro,53.57164978100252
496,2019,1,Salta,40.09834441771615
497,2019,1,San Juan,31.833058053465464
498,2019,1,San Luis,67.3379373977716
499,2019,1,Santa Cruz,23.66765499676892
500,2019,1,Santa Fe,66.97409094791476
501,2019,1,Santiago Del Estero,37.519416746003905
502,2019,1,Tierra Del Fuego,93.37581922721242
503,2019,1,Tucumán,41.63074443134759
504,2018,4,Buenos Aires,64.60284663484316
505,2018,4,Capital Federal,108.27314997057414
506,2018,4,Catamarca,32.225346166025346
507,2018,4,Chaco,32.59096087632982
508,2018,4,Chubut,42.61093609604538
509,2018,4,Córdoba,65.08926459112368
510,2018,4,Corrientes,34.56627656869549
511,2018,4,Entre Ríos,54.37477348639939
512,2018,4,Formosa,29.73653915732
513,2018,4,Jujuy,46.53226639132679
514,2018,4,La Pampa,73.49404828314209
515,2018,4,La Rioja,50.347993917417234
516,2018,4,Mendoza,37.757783845911696
517,2018,4,Misiones,34.4507488777944
518,2018,4,Neuquén,59.06916926636779
519,2018,4,Río Negro,51.86140345426057
520,2018,4,Salta,39.801610069738146
521,2018,4,San Juan,31.89625207025579
522,2018,4,San Luis,67.55045369760039
523,2018,4,Santa Cruz,23.68919410065612
524,2018,4,Santa Fe,65.58706886191564
525,2018,4,Santiago Del Estero,37.40072595129344
526,2018,4,Tierra Del Fuego,93.59257086207943
527,2018,4,Tucumán,41.75796963877769
528,2018,3,Buenos Aires,64.44056759752046
529,2018,3,Capital Federal,108.44591411021922
530,2018,3,Catamarca,32.91594537411041
531,2018,3,Chaco,32.283100833077576
532,2018,3,Chubut,56.391745852269025
533,2018,3,Córdoba,64.24210026029336
534,2018,3,Corrientes,34.24993887383215
535,2018,3,Entre Ríos,50.222013858377494
536,2018,3,Formosa,29.576573428878444
537,2018,3,Jujuy,23.263700137195517
538,2018,3,La Pampa,71.75023651844843
539,2018,3,La Rioja,50.73304318059562
540,2018,3,Mendoza,37.990597267996215
541,2018,3,Misiones,32.10366641805902
542,2018,3,Neuquén,60.48661674396911
543,2018,3,Río Negro,50.54264808703746
544,2018,3,Salta,39.42741342068409
545,2018,3,San Juan,33.05141650392377
546,2018,3,San Luis,52.35311497551916
547,2018,3,Santa Cruz,32.72785029455932
548,2018,3,Santa Fe,63.4096146162309
549,2018,3,Santiago Del Estero,36.24961697805127
550,2018,3,Tierra Del Fuego,92.77191839394062
