,Año,Trimestre,Provincia,Mbps (Media de bajada)
401,2020,1,San Juan,6.036984591484099
402,2020,1,San Luis,20.989379744282658
403,2020,1,Santa Cruz,6.417170627364028
404,2020,1,Santa Fe,22.42405677003625
405,2020,1,Santiago Del Estero,10.00053908049476
406,2020,1,Tierra Del Fuego,7.410865837696335
407,2020,1,Tucumán,32.24553094303289
408,2019,4,Buenos Aires,30.769694141005864
409,2019,4,Capital Federal,44.203178670085876
410,2019,4,Catamarca,24.878307670462615
411,2019,4,Chaco,23.37495080016229
412,2019,4,Chubut,6.994113523445059
413,2019,4,Córdoba,26.16228061451293
414,2019,4,Corrientes,19.255411607971407
415,2019,4,Entre Ríos,17.007580897657125
416,2019,4,Formosa,14.525629551519327
417,2019,4,Jujuy,12.959200042804211
418,2019,4,La Pampa,6.526152195693043
419,2019,4,La Rioja,8.000880364029628
420,2019,4,Mendoza,7.785200889987086
421,2019,4,Misiones,20.32034743574273
422,2019,4,Neuquén,26.01988431478295
423,2019,4,Río Negro,17.17699897385603
424,2019,4,Salta,19.08357302283381
425,2019,4,San Juan,6.040171698468491
426,2019,4,San Luis,20.690353422143115
427,2019,4,Santa Cruz,5.207925064069708
428,2019,4,Santa Fe,20.54719701980728
429,2019,4,Santiago Del Estero,9.792201844355846
430,2019,4,Tierra Del Fuego,7.27
431,2019,4,Tucumán,29.87038932431276
432,2019,3,Buenos Aires,25.679380143834067
433,2019,3,Capital Federal,38.71410056071139
434,2019,3,Catamarca,9.293407429459826
435,2019,3,Chaco,19.994668122685404
436,2019,3,Chubut,6.966323588474291
437,2019,3,Córdoba,23.193402364939846
438,2019,3,Corrientes,16.69992255090861
439,2019,3,Entre Ríos,14.69513286650061
440,2019,3,Formosa,13.22353748406198
441,2019,3,Jujuy,11.968240929924347
442,2019,3,La Pampa,5.719666464891041
443,2019,3,La Rioja,8.002375296912113
444,2019,3,Mendoza,6.10822854552147
445,2019,3,Misiones,17.931522461372833
446,2019,3,Neuquén,23.74841515996666
447,2019,3,Río Negro,15.983718503999242
448,2019,3,Salta,14.746465244455523
449,2019,3,San Juan,6.038229508650902
450,2019,3,San Luis,19.743826982349614
451,2019,3,Santa Cruz,5.017746940956451
452,2019,3,Santa Fe,18.165529686687883
453,2019,3,Santiago Del Estero,9.389413131426359
454,2019,3,Tierra Del Fuego,6.690701380143412
455,2019,3,Tucumán,19.323994794580525
456,2019,2,Buenos Aires,22.480046018557395
457,2019,2,Capital Federal,30.346259857091994
458,2019,2,Catamarca,8.81
459,2019,2,Chaco,16.01024333099657
460,2019,2,Chubut,6.054406893543786
461,2019,2,Córdoba,18.43151783191278
462,2019,2,Corrientes,13.833035083816176
463,2019,2,Entre Ríos,12.193357817950574
464,2019,2,Formosa,10.836611219480826
465,2019,2,Jujuy,12.073382280507326
466,2019,2,La Pampa,5.492288321417966
467,2019,2,La Rioja,7.894163486005089
468,2019,2,Mendoza,6.02629690452623
469,2019,2,Misiones,14.50130254739236
470,2019,2,Neuquén,17.242865250195976
471,2019,2,Río Negro,11.628050204319907
472,2019,2,Salta,12.548748750601563
473,2019,2,San Juan,6.118522013069041
474,2019,2,San Luis,19.875972848399364
475,2019,2,Santa Cruz,6.008047317560813
476,2019,2,Santa Fe,15.074549058890282
477,2019,2,Santiago Del Estero,7.103112882966522
478,2019,2,Tierra Del Fuego,6.34
479,2019,2,Tucumán,18.529317885920335
480,2019,1,Buenos Aires,19.643958224230506
481,2019,1,Capital Federal,24.715063293849774
482,2019,1,Catamarca,7.964005155271879
483,2019,1,Chaco,13.444236269077935
484,2019,1,Chubut,5.891730569196159
485,2019,1,Córdoba,15.73486422864591
486,2019,1,Corrientes,12.049695550812029
487,2019,1,Entre Ríos,10.659197328953976
488,2019,1,Formosa,9.825089957835713
489,2019,1,Jujuy,8.560464217465055
490,2019,1,La Pampa,5.057861842867403
491,2019,1,La Rioja,7.092792286992043
492,2019,1,Mendoza,5.742764175317399
493,2019,1,Misiones,12.512773459683503
494,2019,1,Neuquén,15.884653263915219
495,2019,1,Río Negro,10.488420648136287
496,2019,1,Salta,10.377100013969459
497,2019,1,San Juan,5.839263189429536
498,2019,1,San Luis,8.708555188754593
499,2019,1,Santa Cruz,5.779992970397563
500,2019,1,Santa Fe,12.986963477266004
501,2019,1,Santiago Del Estero,6.415070737969083
502,2019,1,Tierra Del Fuego,6.341101450612301
503,2019,1,Tucumán,16.573299964579572
504,2018,4,Buenos Aires,16.934363010150058
505,2018,4,Capital Federal,22.93530199223472
506,2018,4,Catamarca,8.043920202659912
507,2018,4,Chaco,13.492083570210347
508,2018,4,Chubut,6.085223903684034
509,2018,4,Córdoba,15.813667433629776
510,2018,4,Corrientes,12.138923393387724
511,2018,4,Entre Ríos,11.023282490376955
512,2018,4,Formosa,9.816893711913803
513,2018,4,Jujuy,8.562737601752614
514,2018,4,La Pampa,4.319094957943483
515,2018,4,La Rioja,7.0933821251548945
516,2018,4,Mendoza,5.746675102434321
517,2018,4,Misiones,12.495112674155788
518,2018,4,Neuquén,15.89123364607043
519,2018,4,Río Negro,10.487005565275494
520,2018,4,Salta,10.45728408913591
521,2018,4,San Juan,5.715266539357845
522,2018,4,San Luis,8.818992791900516
523,2018,4,Santa Cruz,5.1195073647728675
524,2018,4,Santa Fe,13.179234899969483
525,2018,4,Santiago Del Estero,6.309255243851745
526,2018,4,Tierra Del Fuego,7.436562008214025
527,2018,4,Tucumán,16.58323444553027
528,2018,3,Buenos Aires,16.77973513236217
529,2018,3,Capital Federal,21.643368364061413
530,2018,3,Catamarca,7.806521941530631
531,2018,3,Chaco,12.89496189060927
532,2018,3,Chubut,6.076722322942862
533,2018,3,Córdoba,14.8182495375679
534,2018,3,Corrientes,11.493228365457123
535,2018,3,Entre Ríos,10.524753506287304
536,2018,3,Formosa,9.318495441068285
537,2018,3,Jujuy,7.669872151814152
538,2018,3,La Pampa,4.283048376167659
539,2018,3,La Rioja,6.156013225626096
540,2018,3,Mendoza,5.786015677158131
541,2018,3,Misiones,12.487485758721087
542,2018,3,Neuquén,14.674244286624784
543,2018,3,Río Negro,10.06446008106754
544,2018,3,Salta,9.265848177562406
545,2018,3,San Juan,5.738204725877363
546,2018,3,San Luis,8.814987579354126
547,2018,3,Santa Cruz,5.369715716600383
548,2018,3,Santa Fe,12.357326043488575
549,2018,3,Santiago Del Estero,5.779842512369051
550,2018,3,Tierra Del Fuego,5.98788374717833
551,2018,3,Tucumán,15.255950362488306
552,2018,2,Buenos Aires,14.679375512175804
553,2018,2,Capital Federal,18.93813458927817
554,2018,2,Catamarca,7.693096507452943
555,2018,2,Chaco,12.499460181995785
556,2018,2,Chubut,5.329857730598913
557,2018,2,Córdoba,13.876809406349514
558,2018,2,Corrientes,10.87765289559918
559,2018,2,Entre Ríos,10.186702751759963
560,2018,2,Formosa,8.974986530777175
561,2018,2,Jujuy,6.289345589213642
562,2018,2,La Pampa,4.098364171057469
563,2018,2,La Rioja,5.591861584368082
564,2018,2,Mendoza,5.880529663045039
565,2018,2,Misiones,11.759657402552001
566,2018,2,Neuquén,13.365011560107956
567,2018,2,Río Negro,9.509595114373948
568,2018,2,Salta,8.928271706442677
569,2018,2,San Juan,5.845597830692315
570,2018,2,San Luis,5.9005751848808545
571,2018,2,Santa Cruz,5.1892899508557875
572,2018,2,Santa Fe,11.74888462281756
573,2018,2,Santiago Del Estero,5.9110016469983835
574,2018,2,Tierra Del Fuego,5.942745057375916
575,2018,2,Tucumán,13.506545729627103
576,2018,1,Buenos Aires,14.198889644680946
577,2018,1,Capital Federal,17.74557730418008
578,2018,1,Catamarca,8.198860528714677
579,2018,1,Chaco,12.444064678644967
580,2018,1,Chubut,5.418637938827784
581,2018,1,Córdoba,12.790571217400485
582,2018,1,Corrientes,11.118502865253635
583,2018,1,Entre Ríos,9.875239366998759
584,2018,1,Formosa,11.056815367469506
585,2018,1,Jujuy,6.741185879384532
586,2018,1,La Pampa,3.995131352064104
587,2018,1,La Rioja,5.890820604111634
588,2018,1,Mendoza,5.881626969169374
589,2018,1,Misiones,12.082189465143012
590,2018,1,Neuquén,11.96045995607415
591,2018,1,Río Negro,8.976243194361576
592,2018,1,Salta,9.1894409821995
593,2018,1,San Juan,5.850581035549749
594,2018,1,San Luis,5.89436270457927
595,2018,1,Santa Cruz,5.1892899508557875
596,2018,1,Santa Fe,11.173305005746002
597,2018,1,Santiago Del Estero,6.248210722163038
598,2018,1,Tierra Del Fuego,5.768082036032884
599,2018,1,Tucumán,9.355631684806106
600,2017,4,Buenos Aires,12.9720825438982
601,2017,4,Capital Federal,15.20221886916041
602,2017,4,Catamarca,7.78415435139573
603,2017,4,Chaco,11.702868121959403
604,2017,4,Chubut,5.408238076890145
605,2017,4,Córdoba,11.63658470115664
606,2017,4,Corrientes,10.384400430891967
607,2017,4,Entre Ríos,9.295960619999066
608,2017,4,Formosa,10.114170463766307
609,2017,4,Jujuy,6.638821273566491
610,2017,4,La Pampa,3.9758194449815036
611,2017,4,La Rioja,5.877588849506658
612,2017,4,Mendoza,5.71002586675844
613,2017,4,Misiones,11.324123723249613
614,2017,4,Neuquén,10.719151524540269
615,2017,4,Río Negro,8.045522324672751
616,2017,4,Salta,8.451742767775633
617,2017,4,San Juan,5.832260073010133
618,2017,4,San Luis,5.732208801354054
619,2017,4,Santa Cruz,5.206584828874508
