,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
442,2019,3,La Pampa,90559,269.0,90828
443,2019,3,La Rioja,49659,18.0,49677
444,2019,3,Mendoza,223015,1322.0,224337
445,2019,3,Misiones,133883,0.0,133883
446,2019,3,Neuquén,123435,1986.0,125421
447,2019,3,Río Negro,143391,904.0,144295
448,2019,3,Salta,151834,1.0,151835
449,2019,3,San Juan,72535,563.0,73098
450,2019,3,San Luis,122409,291.0,122700
451,2019,3,Santa Cruz,37642,328.0,37970
452,2019,3,Santa Fe,760706,228.0,760934
453,2019,3,Santiago Del Estero,133130,2.0,133132
454,2019,3,Tierra Del Fuego,48043,544.0,48587
455,2019,3,Tucumán,164099,32.0,164131
456,2019,2,Buenos Aires,3845594,10104.0,3855698
457,2019,2,Capital Federal,1412177,3443.0,1415620
458,2019,2,Catamarca,33626,9.0,33635
459,2019,2,Chaco,108721,13.0,108734
460,2019,2,Chubut,86038,1518.0,87556
461,2019,2,Córdoba,775023,105.0,775128
462,2019,2,Corrientes,111539,10.0,111549
463,2019,2,Entre Ríos,235780,44.0,235824
464,2019,2,Formosa,46438,0.0,46438
465,2019,2,Jujuy,86706,1.0,86707
466,2019,2,La Pampa,89937,268.0,90205
467,2019,2,La Rioja,50283,18.0,50301
468,2019,2,Mendoza,222535,1322.0,223857
469,2019,2,Misiones,132878,0.0,132878
470,2019,2,Neuquén,120954,1999.0,122953
471,2019,2,Río Negro,137632,915.0,138547
472,2019,2,Salta,142567,1.0,142568
473,2019,2,San Juan,69461,564.0,70025
474,2019,2,San Luis,117094,291.0,117385
475,2019,2,Santa Cruz,30225,325.0,30550
476,2019,2,Santa Fe,743258,226.0,743484
477,2019,2,Santiago Del Estero,126752,2.0,126754
478,2019,2,Tierra Del Fuego,46910,544.0,47454
479,2019,2,Tucumán,166299,32.0,166331
480,2019,1,Buenos Aires,3736563,10104.0,3746667
481,2019,1,Capital Federal,1396157,3443.0,1399600
482,2019,1,Catamarca,33613,9.0,33622
483,2019,1,Chaco,103664,13.0,103677
484,2019,1,Chubut,78260,1518.0,79778
485,2019,1,Córdoba,744010,105.0,744115
486,2019,1,Corrientes,102477,10.0,102487
487,2019,1,Entre Ríos,232403,44.0,232447
488,2019,1,Formosa,45211,0.0,45211
489,2019,1,Jujuy,90146,1.0,90147
490,2019,1,La Pampa,88892,268.0,89160
491,2019,1,La Rioja,51638,18.0,51656
492,2019,1,Mendoza,204976,1322.0,206298
493,2019,1,Misiones,122720,0.0,122720
494,2019,1,Neuquén,112321,2056.0,114377
495,2019,1,Río Negro,120173,915.0,121088
496,2019,1,Salta,136019,1.0,136020
497,2019,1,San Juan,61881,564.0,62445
498,2019,1,San Luis,96044,291.0,96335
499,2019,1,Santa Cruz,24580,325.0,24905
500,2019,1,Santa Fe,736851,227.0,737078
501,2019,1,Santiago Del Estero,89851,2.0,89853
502,2019,1,Tierra Del Fuego,45903,544.0,46447
503,2019,1,Tucumán,171970,32.0,172002
504,2018,4,Buenos Aires,3626502,10104.0,3636606
505,2018,4,Capital Federal,1385577,3443.0,1389020
506,2018,4,Catamarca,33574,9.0,33583
507,2018,4,Chaco,103257,13.0,103270
508,2018,4,Chubut,77204,1518.0,78722
509,2018,4,Córdoba,737234,105.0,737339
510,2018,4,Corrientes,100591,10.0,100601
511,2018,4,Entre Ríos,222003,44.0,222047
512,2018,4,Formosa,45204,0.0,45204
513,2018,4,Jujuy,90132,1.0,90133
514,2018,4,La Pampa,85368,268.0,85636
515,2018,4,La Rioja,51633,18.0,51651
516,2018,4,Mendoza,204982,1322.0,206304
517,2018,4,Misiones,116273,0.0,116273
518,2018,4,Neuquén,112309,2056.0,114365
519,2018,4,Río Negro,115922,915.0,116837
520,2018,4,Salta,134577,1.0,134578
521,2018,4,San Juan,61834,564.0,62398
522,2018,4,San Luis,96040,291.0,96331
523,2018,4,Santa Cruz,24443,325.0,24768
524,2018,4,Santa Fe,720161,229.0,720390
525,2018,4,Santiago Del Estero,89333,2.0,89335
526,2018,4,Tierra Del Fuego,45716,544.0,46260
527,2018,4,Tucumán,171972,32.0,172004
528,2018,3,Buenos Aires,3599714,10563.0,3610277
529,2018,3,Capital Federal,1385804,6686.0,1392490
530,2018,3,Catamarca,34215,11.0,34226
531,2018,3,Chaco,102021,12.0,102033
532,2018,3,Chubut,101310,2426.0,103736
533,2018,3,Córdoba,725764,94.0,725858
534,2018,3,Corrientes,99445,11.0,99456
535,2018,3,Entre Ríos,204560,48.0,204608
536,2018,3,Formosa,44865,0.0,44865
537,2018,3,Jujuy,44934,1.0,44935
538,2018,3,La Pampa,83180,244.0,83424
539,2018,3,La Rioja,51855,17.0,51872
540,2018,3,Mendoza,205545,1484.0,207029
541,2018,3,Misiones,108042,0.0,108042
542,2018,3,Neuquén,114713,2005.0,116718
543,2018,3,Río Negro,112433,1059.0,113492
544,2018,3,Salta,132882,1.0,132883
545,2018,3,San Juan,63823,658.0,64481
546,2018,3,San Luis,74121,300.0,74421
547,2018,3,Santa Cruz,33565,434.0,33999
548,2018,3,Santa Fe,694883,217.0,695100
549,2018,3,Santiago Del Estero,86358,2.0,86360
550,2018,3,Tierra Del Fuego,45056,508.0,45564
551,2018,3,Tucumán,171135,31.0,171166
552,2018,2,Buenos Aires,3490134,10565.0,3500699
553,2018,2,Capital Federal,1362498,6688.0,1369186
554,2018,2,Catamarca,34078,11.0,34089
555,2018,2,Chaco,98509,12.0,98521
556,2018,2,Chubut,98137,2427.0,100564
557,2018,2,Córdoba,712979,94.0,713073
558,2018,2,Corrientes,97946,11.0,97957
559,2018,2,Entre Ríos,199937,48.0,199985
560,2018,2,Formosa,44554,,44554
561,2018,2,Jujuy,45132,1.0,45133
